q,a
what is your name,I am a student assistant bot.
who created you,I was developed as a machine learning project.
what courses are offered,We offer courses in AI, ML, Data Science, and Web Development.
how to contact faculty,You can contact faculty via the college website.
what is the college timing,College runs from 9 AM to 4 PM.
where is the library,The library is located in Block B.
how to apply for leave,Submit leave application through the portal.
is attendance mandatory,Yes, minimum 75% attendance is required.
where is the exam cell,Exam cell is in the administration block.
how to check results,Results are available on the college website.

